"country","year","average_life","cons_alc","cons_edu","GDP","internetuser","people","students","unemployers","workers","percent"
"slovakia","X2012",76.3,5,1.6,26.6650768134715,767,5404,434,0.0699481865284974,0.430977054034049,0.02
"slovenia","X2012",80.3,5.5,1.3,28.8722092944039,683,2055,531,0.0437956204379562,0.44963503649635,0.02
"switzerland","X2012",82.8,3.6,0.6,57.8937741546197,852,7955,364,0.0242614707730987,0.55411690760528,0.02
"sweden","X2012",81.8,3.7,0.3,44.8965252557208,932,9483,503,0.0426025519350417,0.491089317726458,0.02
"turkey","X2012",74.6,NA,1.2,20.5972810395589,451,74724,608,0.0294684438734543,0.332142283603661,0.02
"hungary","X2012",75.3,7.7,1.5,22.9707969089811,706,9932,408,0.0476238421264599,0.385320177204994,0.02
"unitedkingdom","X2012",81,4.2,1.6,37.5989888526656,875,63495,418,0.0399086542247421,0.4661154421608,0.02
"italy","X2012",82.4,4.2,1,36.3260022982119,558,59394,349,0.0453076068289726,0.37993736741085,0.02
"argentina","X2013",76,NA,NA,20.2504705510367,599,42538,676,0.0267995674455781,0.378438102402558,0.03
"australia","X2013",82.1,3.5,4.5,47.2227844305973,835,23270,623,0.0295229909755049,0.49209282337774,0.03
"austria","X2013",81.3,3.3,0.8,47.8762727520114,806,8452,525,0.027330809275911,0.485683861807856,0.03
"belgium","X2013",80.7,3.9,0.4,43.5311739294033,822,11162,463,0.0373588962551514,0.405841247088335,0.03
"brazil","X2013",74.1,NA,NA,15.8619435642983,510,204259,394,0.0330071135176418,0.473217826387087,0.03
"bulgaria","X2013",74.9,6.6,0.9,16.5863519835278,531,7285,415,0.0598490048043926,0.402882635552505,0.03
"chile","X2013",81.2,3.1,4.4,22.3283287209832,580,17576,693,0.0270254893035958,0.449704142011834,0.03
"croatia","X2013",77.8,NA,NA,21.6295520882215,667,4262,411,0.0746128578132332,0.357578601595495,0.03
"cyprus","X2013",82.5,5.8,2.7,30.4398467667436,655,866,394,0.0796766743648961,0.421478060046189,0.03
"czechrepublic","X2013",78.3,8.2,0.5,30.4807053252187,741,10516,431,0.0350893875998479,0.469475085583872,0.03
"denmark","X2013",80.4,3.7,0.8,46.8263636801713,946,5603,545,0.0360521149384258,0.479742994824201,0.03
"estonia","X2013",77.5,8.9,0.5,27.3928860606061,794,1320,516,0.0446969696969697,0.470454545454545,0.03
"finland","X2013",81.1,4.7,0.4,41.3845999631472,915,5427,594,0.0403537866224433,0.45273631840796,0.03
"france","X2013",82.4,3.5,0.9,39.7277730838415,819,65600,381,0.0432317073170732,0.39297256097561,0.03
"greece","X2013",81.4,4.8,2.2,26.0058741639404,599,11004,624,0.120865139949109,0.319247546346783,0.03
"spain","X2013",83.2,4,1.8,32.5267048001198,716,46728,446,0.129494093477144,0.366782229070365,0.03
